,district,odate,rainfall,temp_min,temp_max,avg_temp,max_temp_pred,avg_temp_pred,temp_range,heatwave_pred
4857,Khammam,2021-10-24,0.0,23.752380952380953,35.57142857142857,29.66190476190476,35.342462082918516,29.751194823921654,5.5912672589968615,True
4858,Khammam,2021-10-25,0.5333333333333333,22.985714285714284,34.53333333333334,28.759523809523813,34.59386436401095,28.891903882404534,5.701960481606413,True
4859,Khammam,2021-10-26,0.0,22.209523809523812,34.21904761904762,28.214285714285715,34.452806059164814,28.55641995366737,5.896386105497445,True
4860,Khammam,2021-10-27,0.0,20.242857142857144,33.71904761904762,26.98095238095238,34.12489697151885,27.5876543994167,6.537242572102151,True
4861,Khammam,2021-10-28,0.0,22.214285714285715,33.50952380952381,27.861904761904764,33.90561839656786,28.32852275774147,5.577095638826389,True
4862,Khammam,2021-10-29,0.03333333333333333,23.314285714285717,33.72380952380952,28.51904761904762,34.0702615957247,28.633015636669988,5.437245959054714,True
4863,Khammam,2021-10-30,5.019047619047619,24.83809523809524,33.076190476190476,28.95714285714286,33.437368623342955,28.868239355325,4.5691292680179565,True
4864,Khammam,2021-10-31,9.338095238095239,23.98095238095238,32.642857142857146,28.31190476190476,33.17872897052868,28.320570534461623,4.8581584360670576,True
4865,Khammam,2021-11-01,2.4523809523809526,24.419047619047618,33.195238095238096,28.80714285714286,33.518184785899145,28.800898808503163,4.717285977395981,True
4866,Khammam,2021-11-02,1.0,24.085714285714285,32.86190476190476,28.473809523809525,33.1755047842797,28.474256347091,4.701248437188703,True
4867,Khammam,2021-11-03,0.9333333333333333,23.871428571428574,32.21904761904762,28.045238095238098,32.639017042226456,28.184894968794033,4.454122073432423,True
4868,Khammam,2021-11-04,2.8857142857142852,23.285714285714285,33.03333333333334,28.15952380952381,33.32050697351408,28.308569932486325,5.011937041027753,True
4869,Khammam,2021-11-05,0.3238095238095238,22.79047619047619,32.857142857142854,27.823809523809523,32.99192356153267,28.0014483081097,4.9904752534229715,True
4870,Khammam,2021-11-06,0.0,22.604761904761904,33.37619047619047,27.990476190476187,33.42104972487231,28.14698698204113,5.27406274283118,True
4871,Khammam,2021-11-07,0.0,22.476190476190474,33.46190476190476,27.969047619047622,33.40210593007872,28.08006214782331,5.32204378225541,True
4872,Khammam,2021-11-08,0.0,19.461904761904762,31.780952380952378,25.62142857142857,32.171798653876046,26.214476239865085,5.95732241401096,True
4873,Khammam,2021-11-09,0.0,19.585714285714285,33.13333333333333,26.359523809523807,33.34318964566534,27.004686784858198,6.338502860807143,True
4874,Khammam,2021-11-10,0.0,19.833333333333332,32.59047619047619,26.211904761904766,32.76777023556375,26.66434551551062,6.10342472005313,True
4875,Khammam,2021-11-11,0.0,22.64761904761905,33.08571428571428,27.866666666666667,33.12997835557006,27.90785802861211,5.222120326957949,True
4876,Khammam,2021-11-12,0.3523809523809524,23.514285714285716,30.44285714285714,26.978571428571428,31.167854889012276,26.983129091801693,4.184725797210582,True
