district,month,aqi,year
Karimnagar,Dec,82,2021
Khammam,Jan,99.77777777777777,2021
Khammam,Feb,84.0,2021
Khammam,Mar,68.0,2021
Khammam,Apr,54.0,2021
Khammam,May,-,2021
Khammam,Jun,88,2021
Khammam,Jul,69,2021
Khammam,Aug,67,2021
Khammam,Sep,84.93873676028191,2021
Khammam,Oct,61,2021
Khammam,Nov,86,2021
Khammam,Dec,78,2021
Warangal,Jan,79.74074074074075,2021
Warangal,Feb,86.5,2021
Warangal,Mar,66.0,2021
Warangal,Apr,64.5,2021
Warangal,May,47.0,2021
Warangal,Jun,62.5,2021
Warangal,Jul,71.5,2021
Warangal,Aug,50.0,2021
Warangal,Sep,59.49456458779913,2021
Warangal,Oct,56.5,2021
Warangal,Nov,61.5,2021
Warangal,Dec,62.0,2021
Nizamabad,Jan,56,2022
Nizamabad,Feb,59,2022
Nizamabad,Mar,64.0,2022
Nizamabad,Apr,58.0,2022
Nizamabad,May,56.22222222222223,2022
Nizamabad,Jun,54.0,2022
Nizamabad,Jul,46.0,2022
Nizamabad,Aug,53.0,2022
Nizamabad,Sep,54.0,2022
Nizamabad,Oct,63.0,2022
Nizamabad,Nov,56.0,2022
Nizamabad,Dec,59.0,2022
Adilabad,Jan,-,2022
Adilabad,Feb,-,2022
Adilabad,Mar,56.0,2022
Adilabad,Apr,65.0,2022
Adilabad,May,60.14814814814814,2022
Adilabad,Jun,58.0,2022
Adilabad,Jul,48.0,2022
Adilabad,Aug,56.0,2022
Adilabad,Sep,56.0,2022
Adilabad,Oct,65.0,2022
Adilabad,Nov,58.0,2022
Adilabad,Dec,62.0,2022
Karimnagar,Jan,82,2022
Karimnagar,Feb,90.33333333333333,2022
Karimnagar,Mar,95.66666666666667,2022
Karimnagar,Apr,69.92621532684092,2022
Karimnagar,May,76.24128214586307,2022
Karimnagar,Jun,89.0,2022
Karimnagar,Jul,69.19779101510255,2022
Karimnagar,Aug,55.0,2022
Karimnagar,Sep,58.0,2022
Karimnagar,Oct,63.0,2022
Karimnagar,Nov,101.0,2022
Karimnagar,Dec,126.0,2022
Khammam,Jan,80,2022
Khammam,Feb,78.07930000217328,2022
Khammam,Mar,76.51851851851852,2022
Khammam,Apr,79.36573096143098,2022
Khammam,May,76.61111111111121,2022
Khammam,Jun,81.0,2022
Khammam,Jul,72.5000000000001,2022
Khammam,Aug,58.0,2022
Khammam,Sep,42.0,2022
Khammam,Oct,57.0,2022
Khammam,Nov,78.0,2022
Khammam,Dec,115.0,2022
Warangal,Jan,65.5,2022
Warangal,Feb,68.25702630848966,2022
Warangal,Mar,62.58178631782758,2022
Warangal,Apr,63.12698040859436,2022
Warangal,May,65.39959017689814,2022
Warangal,Jun,78.5,2022
Warangal,Jul,43.84860418806793,2022
Warangal,Aug,49.5,2022
Warangal,Sep,44.5,2022
Warangal,Oct,64.0,2022
Warangal,Nov,71.5,2022
Warangal,Dec,105.0,2022
